(Twin Cities MSA,hi,313.94075403949734)
(Quebec City,hi,131.2648709315376)
(Sicily,lo,45.05185185185185)
(Barossa Valley,hi,262.8)
(Clark County,hi,180.11052366565963)
(Asheville,hi,157.6052889324192)
(Antwerp,mid,51.78974358974359)
(Clark County,mid,93.01075819672131)
(Bordeaux,hi,90.75079086115993)
(Hawaii,mid,144.45049019607842)
(Prague,lo,422.5272727272727)
(Twin Cities MSA,mid,138.27793296089385)
(Chicago,lo,57.026666666666664)
(Denver,lo,41.08247422680412)
(Twin Cities MSA,lo,120.13207547169812)
(Quebec City,lo,40.857142857142854)
(Venice,mid,88.12041116005874)
(Toronto,mid,69.51248770894789)
(Toronto,hi,164.31543907851633)
(Asheville,lo,39.5)
(Greater Manchester,hi,108.34652014652015)
(Clark County,lo,63.04615384615385)
(Lisbon,mid,58.604990708786836)
(Brussels,mid,43.24454148471616)
(Thessaloniki,hi,49.589082183563285)
(Porto,mid,44.70488322717622)
(Bordeaux,lo,34.21052631578947)
(Girona,mid,71.59746835443038)
(Cape Town,mid,521.9290681502086)
(Toronto,lo,68.53787878787878)
(Greater Manchester,lo,40.25)
(New York City,mid,82.53164108618654)
(Thessaloniki,lo,27.833333333333332)
(Bristol,mid,39.276412776412776)
(Bergamo,hi,74.83643724696357)
(Ghent,mid,57.62917933130699)
(Istanbul,mid,175.9237509607994)
(Montreal,mid,51.42028639618138)
(Barwon South West,hi,257.8592200925314)
(Milan,mid,70.45378957467221)
(Stockholm,hi,711.2896639727776)
(Western Australia,hi,192.38655596359573)
(Sevilla,hi,94.01128404669261)
(Salem,mid,127.81818181818181)
(Madrid,mid,42.49469352393329)
(Bergamo,lo,36.0)
(Thessaloniki,mid,40.64666666666667)
(Beijing,hi,463.54529711994167)
(Austin,hi,254.2483308907344)
(Girona,hi,130.8400678439589)
(Taipei,mid,757.1314685314685)
(Manchester,mid,25.8)
(Barwon South West,lo,51.714285714285715)
(Rio de Janeiro,mid,212.701244813278)
(Pacific Grove,hi,270.53465346534654)
(Ottawa,mid,66.69592088998763)
(Copenhagen,mid,405.02642740619905)
(Puglia,mid,68.79691926345609)
(Santa Cruz County,mid,109.24696356275304)
(Antwerp,hi,97.3508260447036)
(Brussels,hi,77.20955273329652)
(Stockholm,lo,453.0)
(Florence,mid,64.32905198776758)
(Pacific Grove,mid,192.42857142857142)
(Sevilla,lo,56.57142857142857)
(Nashville,hi,218.9535828256455)
(Western Australia,lo,59.30952380952381)
(Austin,lo,75.95454545454545)
(Athens,hi,59.60701818849899)
(Girona,lo,26.545454545454547)
(New York City,hi,191.57802263251935)
(Lisbon,hi,98.31874386653583)
(Quebec City,mid,64.22557471264368)
(Beijing,lo,146.12718204488777)
(Oslo,hi,677.3965517241379)
(San Diego,hi,228.30718722271519)
(Antwerp,lo,28.473684210526315)
(Naples,hi,70.8460606060606)
(Taipei,hi,850.8557993730408)
(Seattle,mid,77.25911559348332)
(Sydney,mid,86.16105604082834)
(Brussels,lo,39.65384615384615)
(Vienna,mid,38.0675615212528)
(Montreal,hi,116.31461148648648)
(Barossa Valley,mid,182.85185185185185)
(Nashville,lo,78.72727272727273)
(Hawaii,hi,250.00377752772866)
(New York City,lo,67.52594339622641)
(Naples,mid,60.88778467908903)
(Oslo,lo,390.95081967213116)
(Los Angeles,hi,190.06759712529944)
(Athens,lo,41.62068965517241)
(Ghent,hi,91.08166969147005)
(Vancouver,hi,192.86163775716014)
(Lisbon,lo,32.47328244274809)
(Tasmania,hi,184.5114265927978)
(Cambridge,hi,199.96946564885496)
(San Diego,lo,56.10344827586207)
(Lyon,hi,98.41382853787434)
(Taipei,lo,586.3820895522388)
(Athens,mid,62.98133333333333)
(Ottawa,hi,145.99420289855072)
(Dublin,hi,163.4314293235062)
(Florence,hi,100.31796568120735)
(Naples,lo,29.166666666666668)
(Montreal,lo,47.05625)
(Malaga,hi,83.00440690414983)
(Hawaii,lo,56.6)
(Berlin,mid,39.91421353251318)
(Ghent,lo,29.333333333333332)
(Los Angeles,lo,41.58212058212058)
(Washington,hi,198.27872860635696)
(Vancouver,lo,75.72727272727273)
