(Twin Cities MSA,hi,165.9593712930012)
(Quebec City,hi,178.9802095459837)
(Sicily,lo,24.02238805970149)
(Barossa Valley,hi,103.73913043478261)
(Clark County,hi,226.69417225373905)
(Asheville,hi,192.80060422960725)
(Antwerp,mid,43.51546391752577)
(Clark County,mid,77.31378600823045)
(Bordeaux,hi,217.8783435704379)
(Hawaii,mid,109.5690499510284)
(Prague,lo,72.52678571428571)
(Twin Cities MSA,mid,62.8100481761872)
(Chicago,lo,47.46979865771812)
(Denver,lo,12.11340206185567)
(Twin Cities MSA,lo,47.983050847457626)
(Quebec City,lo,0.7142857142857143)
(Venice,mid,19.968335787923415)
(Toronto,mid,105.51490461049285)
(Toronto,hi,280.24379106804764)
(Asheville,lo,4.166666666666667)
(Greater Manchester,hi,131.91586715867157)
(Clark County,lo,73.93939393939394)
(Lisbon,mid,34.06161510225485)
(Brussels,mid,49.09498295177789)
(Thessaloniki,hi,50.349544072948326)
(Porto,mid,22.96749116607774)
(Bordeaux,lo,98.87719298245614)
(Girona,mid,43.18805590851334)
(Cape Town,mid,41.72868217054263)
(Toronto,lo,82.85114503816794)
(Greater Manchester,lo,17.82857142857143)
(New York City,mid,81.21299445140505)
(Thessaloniki,lo,50.0)
(Bristol,mid,27.382244143033294)
(Bergamo,hi,73.48253452477661)
(Ghent,mid,27.109756097560975)
(Istanbul,mid,40.224361913495336)
(Montreal,mid,49.723291626564006)
(Barwon South West,hi,187.25035765379113)
(Milan,mid,41.305822136916184)
(Stockholm,hi,183.57507082152975)
(Western Australia,hi,224.1120429386112)
(Sevilla,hi,80.38395638629284)
(Salem,mid,45.756410256410255)
(Madrid,mid,42.12668112798265)
(Bergamo,lo,43.63636363636363)
(Thessaloniki,mid,28.07482993197279)
(Beijing,hi,148.9113946326441)
(Austin,hi,217.74261739551395)
(Girona,hi,215.24246462989544)
(Taipei,mid,98.36814958091554)
(Manchester,mid,4.6)
(Barwon South West,lo,26.666666666666668)
(Rio de Janeiro,mid,103.26373301831069)
(Pacific Grove,hi,341.0217391304348)
(Ottawa,mid,70.39103362391033)
(Copenhagen,mid,104.18191642651297)
(Puglia,mid,20.647789810047932)
(Santa Cruz County,mid,108.11065573770492)
(Antwerp,hi,126.83518705763397)
(Brussels,hi,120.71664766248574)
(Stockholm,lo,39.68571428571428)
(Florence,mid,29.99204406364749)
(Pacific Grove,mid,140.42857142857142)
(Sevilla,lo,23.928571428571427)
